Organism,Number of pre-miRNA sequences,Number of sequences that have  G4,% of seq. with G4
Homo sapiens,1881,85,4.52
Equus caballus,715,35,4.90
Bos taurus,808,32,3.96
Mus musculus,1193,29,2.43
Pongo pygmaeus,642,24,3.74
Pan troglodytes,655,24,3.66
Eptesicus fuscus,502,22,4.38
Gallus gallus,740,19,2.57
Macaca mulatta,619,18,2.91
Canis familiaris,502,15,2.99
Gorilla gorilla,352,13,3.69
Rattus norvegicus,495,13,2.63
Ornithorhynchus anatinus,396,9,2.27
Taeniopygia guttata,247,8,3.24
Sus scrofa,382,8,2.09
Oryza sativa,592,8,1.35
Cricetulus griseus,200,5,2.50
Capra hircus,267,5,1.87
Herpes Simplex Virus 1,18,3,16.67
Herpes Simplex Virus 2,18,3,16.67
Chlamydomonas reinhardtii,50,3,6.00
Petromyzon marinus,244,3,1.23
Gossypium raimondii,296,3,1.01
Brachypodium distachyon,317,3,0.95
Monodelphis domestica,460,3,0.65
Herpes B virus,12,2,16.67
Glycine soja,13,2,15.38
Amborella trichopoda,124,2,1.61
Tetraodon nigroviridis,132,2,1.52
Oryzias latipes,168,2,1.19
Haemonchus contortus,188,2,1.06
Solanum tuberosum,224,2,0.89
Apis mellifera,242,2,0.83
Caenorhabditis elegans,250,2,0.80
Salmo salar,371,2,0.54
Glycine max,573,2,0.35
Human immunodeficiency virus 1,3,1,33.33
Helianthus paradoxus,3,1,33.33
Bovine herpesvirus 5,5,1,20.00
Pseudorabies virus,13,1,7.69
Citrus sinensis,60,1,1.67
Lotus japonicus,62,1,1.61
Sarcophilus harrisii,64,1,1.56
Hordeum vulgare,69,1,1.45
Macaca nemestrina,74,1,1.35
Carica papaya,79,1,1.27
Saccoglossus kowalevskii,89,1,1.12
Cucumis melo,120,1,0.83
Linum usitatissimum,124,1,0.81
Plutella xylostella,133,1,0.75
Cyprinus carpio,134,1,0.75
Manihot esculenta,153,1,0.65
Nicotiana tabacum,162,1,0.62
Prunus persica,180,1,0.56
Ophiophagus hannah,198,1,0.51
Sorghum bicolor,205,1,0.49
Tribolium castaneum,209,1,0.48
Drosophila pseudoobscura,210,1,0.48
Physcomitrella patens,229,1,0.44
Anolis carolinensis,282,1,0.35
Danio rerio,346,1,0.29
Medicago truncatula,672,1,0.15
Drosophila melanogaster,256,0,0.00
Arabidopsis thaliana,325,0,0.00
Caenorhabditis briggsae,175,0,0.00
Epstein Barr virus,25,0,0.00
Xenopus laevis,22,0,0.00
Zea mays,172,0,0.00
Ovis aries,106,0,0.00
Anopheles gambiae,52,0,0.00
Mouse gammaherpesvirus 68,15,0,0.00
Human cytomegalovirus,15,0,0.00
Saccharum officinarum,16,0,0.00
Populus trichocarpa,352,0,0.00
Kaposi sarcoma-associated herpesvirus,13,0,0.00
Pan paniscus,88,0,0.00
Ateles geoffroyi,60,0,0.00
Lagothrix lagotricha,48,0,0.00
Saguinus labiatus,42,0,0.00
Lemur catta,16,0,0.00
Fugu rubripes,131,0,0.00
Simian virus 40,1,0,0.00
Rhesus lymphocryptovirus,36,0,0.00
Xenopus tropicalis,192,0,0.00
Bombyx mori,481,0,0.00
Mareks disease virus,14,0,0.00
Schmidtea mediterranea,148,0,0.00
Gossypium hirsutum,78,0,0.00
Gossypium herbaceum,1,0,0.00
Rhesus monkey rhadinovirus,7,0,0.00
Brassica napus,90,0,0.00
Pinus taeda,35,0,0.00
Mareks disease virus type 2,18,0,0.00
